Tiempo (s),SP (LIC203),PV (LE203),CV (LCV203)
0.0,80.0,83.64924621582031,16.402467727661133
1.04,80.0,83.65120697021484,16.397003173828125
2.07,80.0,83.65513610839844,16.386125564575195
3.08,80.0,83.68064880371094,16.315893173217773
4.08,80.0,83.68850708007812,16.29421043395996
5.09,80.0,83.68653869628906,16.299551010131836
6.09,80.0,83.6845703125,16.30489158630371
7.1,80.0,83.6786880493164,16.320999145507812
8.11,85.0,83.67279815673828,30.087141036987305
9.11,85.0,83.66886901855469,30.09798240661621
10.13,85.0,83.66494750976562,30.108802795410156
11.14,85.0,83.6845703125,30.05487632751465
12.15,85.0,83.70420837402344,30.00090789794922
13.15,85.0,83.71009826660156,29.9847469329834
14.16,85.0,83.71401977539062,29.9739990234375
15.18,85.0,83.71990966796875,29.957836151123047
16.19,85.0,83.74542236328125,29.887712478637695
17.2,85.0,83.7572021484375,29.85535430908203
18.2,85.0,83.79057312011719,29.763620376586914
19.2,85.0,83.84161376953125,29.623294830322266
20.21,85.0,83.88479614257812,29.520774841308594
21.21,85.0,83.92208862304688,29.412843704223633
22.22,85.0,83.95545959472656,29.310325622558594
23.22,85.0,83.98490142822266,29.234786987304688
24.22,85.0,84.02415466308594,29.126848220825195
25.23,85.0,84.05752563476562,29.029706954956055
26.23,85.0,84.07127380371094,28.991899490356445
27.23,85.0,84.10659790039062,28.900129318237305
28.24,85.0,84.13015747070312,28.84075355529785
29.24,85.0,84.16156005859375,28.74361228942871
30.25,85.0,84.20082092285156,28.635644912719727
31.25,85.0,84.24008178710938,28.527677536010742
32.25,85.0,84.27345275878906,28.4359073638916
33.26,85.0,84.31271362304688,28.327939987182617
34.26,85.0,84.35981750488281,28.19840431213379
35.26,85.0,84.40496826171875,28.07423973083496
36.26,85.0,84.44815063476562,27.955488204956055
37.28,85.0,84.49330139160156,27.831323623657227
38.28,85.0,84.53648376464844,27.71257209777832
39.29,85.0,84.57769775390625,27.599233627319336
40.3,85.0,84.61499786376953,27.496658325195312
41.3,85.0,84.662109375,27.377906799316406
42.31,85.0,84.70332336425781,27.26454734802246
43.32,85.0,84.72491455078125,27.205171585083008
44.33,85.0,84.75828552246094,27.107988357543945
45.33,85.0,84.79165649414062,27.010847091674805
46.34,85.0,84.81128692626953,26.956863403320312
47.35,85.0,84.82110595703125,26.929861068725586
48.36,85.0,84.85447692871094,26.838090896606445
49.36,85.0,84.86428833007812,26.81110954284668
50.37,85.0,84.86820983886719,26.800325393676758
51.38,85.0,84.86820983886719,26.800325393676758
52.38,85.0,84.86820983886719,26.800325393676758
53.39,85.0,84.87017822265625,26.794912338256836
54.39,85.0,84.87017822265625,26.794912338256836
55.39,85.0,84.87017822265625,26.794912338256836
56.4,85.0,84.8387680053711,26.881290435791016
57.4,85.0,84.82502746582031,26.919076919555664
58.4,85.0,84.81324768066406,26.94066619873047
59.41,85.0,84.7896957397461,27.010847091674805
60.41,85.0,84.78380584716797,27.03243637084961
61.42,85.0,84.77595520019531,27.043241500854492
62.42,85.0,84.75436401367188,27.107988357543945
63.42,85.0,84.74651336669922,27.134990692138672
64.42,85.0,84.72491455078125,27.194387435913086
65.43,85.0,84.70332336425781,27.25376319885254
66.43,85.0,84.69744110107422,27.269939422607422
67.44,85.0,84.69548034667969,27.275331497192383
68.44,85.0,84.69351196289062,27.280744552612305
69.44,85.0,84.6915512084961,27.286136627197266
70.45,85.0,84.66014099121094,27.372514724731445
71.45,85.0,84.64836120605469,27.404909133911133
72.45,85.0,84.662109375,27.367101669311523
73.45,85.0,84.66407012939453,27.361709594726562
74.46,85.0,84.67977142333984,27.318531036376953
75.46,85.0,84.70137023925781,27.25913429260254
76.47,85.0,84.73080444335938,27.178190231323242
77.48,85.0,84.75044250488281,27.12418556213379
78.48,85.0,84.77399444580078,27.059417724609375
79.48,85.0,84.80343627929688,26.978452682495117
80.49,85.0,84.82699584960938,26.913663864135742
81.5,85.0,84.86036682128906,26.8218936920166
82.5,85.0,84.89373016357422,26.735536575317383
83.51,85.0,84.91139221191406,26.68694496154785
84.52,85.0,84.95262145996094,26.578998565673828
85.53,85.0,84.98991394042969,26.465639114379883
86.53,85.0,85.0252456665039,26.36847686767578
87.54,85.0,85.05665588378906,26.2820987701416
88.54,85.0,85.10179901123047,26.157955169677734
89.55,85.0,85.13713073730469,26.060792922973633
90.55,85.0,85.16069030761719,25.996004104614258
91.56,85.0,85.19601440429688,25.898862838745117
92.58,85.0,85.21957397460938,25.834074020385742
93.58,85.0,85.24705505371094,25.758501052856445
94.58,85.0,85.28042602539062,25.666730880737305
95.58,85.0,85.30986785888672,25.585765838623047
96.59,85.0,85.34912872314453,25.477798461914062
97.59,85.0,85.3923110961914,25.359046936035156
98.59,85.0,85.43353271484375,25.24568748474121
99.59,85.0,85.48652648925781,25.09995460510254
100.6,85.0,85.52971649169922,24.981182098388672
101.6,85.0,85.57878875732422,24.857038497924805
102.6,85.0,85.6180419921875,24.74907112121582
103.6,85.0,85.65730285644531,24.641103744506836
104.61,85.0,85.69852447509766,24.52776527404785
105.61,85.0,85.73974609375,24.414384841918945
106.61,85.0,85.77900695800781,24.306438446044922
107.62,85.0,85.82415771484375,24.17146873474121
108.62,85.0,85.86930084228516,24.063522338867188
109.63,85.0,85.89285278320312,23.98794937133789
110.63,85.0,85.92622375488281,23.90157127380371
111.64,85.0,85.9399642944336,23.85300064086914
112.64,85.0,85.94585418701172,23.836803436279297
113.64,85.0,85.94781494140625,23.831411361694336
114.66,85.0,85.95173645019531,23.820627212524414
115.66,85.0,85.93211364746094,23.874589920043945
116.68,85.0,85.91641235351562,23.917768478393555
117.68,85.0,85.9105224609375,23.9339656829834
118.69,85.0,85.9065933227539,23.94477081298828
119.69,85.0,85.90266418457031,23.955575942993164
120.7,85.0,85.87715148925781,24.02573585510254
121.7,85.0,85.8575210571289,24.07432746887207
122.71,85.0,85.83396911621094,24.1282901763916
123.71,85.0,85.8084487915039,24.21466827392578
124.72,85.0,85.78685760498047,24.274044036865234
125.72,85.0,85.7633056640625,24.333419799804688
126.72,85.0,85.74171447753906,24.38740348815918
127.73,85.0,85.72404479980469,24.446779251098633
128.73,85.0,85.69264221191406,24.53313636779785
129.73,85.0,85.67693328857422,24.576335906982422
130.74,85.0,85.66319274902344,24.61412239074707
131.74,85.0,85.6416015625,24.673498153686523
132.75,85.0,85.63571166992188,24.689695358276367
133.75,85.0,85.63571166992188,24.689695358276367
134.76,85.0,85.63375091552734,24.695087432861328
135.76,85.0,85.61215209960938,24.754484176635742
136.78,85.0,85.61019897460938,24.759855270385742
137.79,85.0,85.63179016113281,24.70047950744629
138.79,85.0,85.63963317871094,24.678911209106445
139.8,85.0,85.6671142578125,24.61412239074707
140.8,85.0,85.68478393554688,24.560138702392578
141.8,85.0,85.72600555419922,24.452192306518555
142.8,85.0,85.7593765258789,24.355009078979492
143.81,85.0,85.79667663574219,24.25245475769043
144.82,85.0,85.83003997802734,24.155292510986328
145.83,85.0,85.8575210571289,24.07971954345703
146.84,85.0,85.8908920288086,23.98794937133789
147.85,85.0,85.92425537109375,23.89620018005371
148.85,85.0,85.96351623535156,23.788232803344727
149.86,85.0,85.99296569824219,23.707237243652344
150.86,85.0,86.0086669921875,23.66402244567871
151.87,85.0,86.0341796875,23.593826293945312
152.88,85.0,86.05184936523438,23.545198440551758
153.88,85.0,86.08522033691406,23.453393936157227
154.94,85.0,86.11859130859375,23.36158561706543
155.94,85.0,86.14803314208984,23.28058433532715
156.95,85.0,86.18925476074219,23.16718864440918
157.95,85.0,86.24029541015625,23.026792526245117
158.95,85.0,86.3070297241211,22.843236923217773
159.96,85.0,86.36592102050781,22.681249618530273
160.96,85.0,86.41694641113281,22.5408935546875
161.97,85.0,86.47583770751953,22.37890625
162.97,85.0,86.52294921875,22.249313354492188
163.98,85.0,86.57006072998047,22.119722366333008
164.99,85.0,86.60931396484375,22.01173973083496
165.99,85.0,86.64661407470703,21.909128189086914
166.99,85.0,86.68783569335938,21.795732498168945
168.0,85.0,86.71138763427734,21.74173355102539
169.0,85.0,86.74082946777344,21.64992904663086
170.0,85.0,86.76438903808594,21.595888137817383
171.01,85.0,86.78401184082031,21.531105041503906
172.01,85.0,86.78990173339844,21.51487159729004
173.01,85.0,86.7918701171875,21.509422302246094
174.02,85.0,86.78990173339844,21.514799118041992
175.03,85.0,86.82327270507812,21.428386688232422
176.03,85.0,86.83308410644531,21.395977020263672
177.03,85.0,86.86253356933594,21.31495475769043
178.04,85.0,86.87431335449219,21.28252410888672
179.04,85.0,86.87823486328125,21.271703720092773
180.04,85.0,86.85468292236328,21.336437225341797
181.05,85.0,86.84683227539062,21.357990264892578
182.05,85.0,86.84486389160156,21.363367080688477
183.06,85.0,86.84486389160156,21.363330841064453
184.06,85.0,86.84486389160156,21.363292694091797
185.08,85.0,86.83505249023438,21.39023780822754
186.09,85.0,86.81149291992188,21.45499038696289
187.1,85.0,86.80168151855469,21.47652244567871
188.1,85.0,86.77812957763672,21.54127311706543
189.11,85.0,86.76438903808594,21.584415435791016
190.11,85.0,86.75849914550781,21.600576400756836
191.12,85.0,86.72904968261719,21.67611312866211
192.12,85.0,86.71727752685547,21.708471298217773
193.12,85.0,86.71334838867188,21.72463035583496
194.13,85.0,86.68586730957031,21.800167083740234
195.13,85.0,86.670166015625,21.84330940246582
196.14,85.0,86.66427612304688,21.85947036743164
197.15,85.0,86.68783569335938,21.79464340209961
198.15,85.0,86.70550537109375,21.746015548706055
199.15,85.0,86.71923828125,21.708213806152344
200.16,85.0,86.74082946777344,21.648801803588867
201.17,85.0,86.7722396850586,21.562387466430664
202.18,85.0,86.78205871582031,21.53534698486328
203.18,85.0,86.78598022460938,21.524526596069336
204.2,85.0,86.78990173339844,21.51370620727539
205.2,85.0,86.8173828125,21.443490982055664
206.21,85.0,86.8409423828125,21.378686904907227
207.22,85.0,86.85075378417969,21.346256256103516
208.23,85.0,86.85861206054688,21.324609756469727
209.23,85.0,86.864501953125,21.30837631225586
210.24,85.0,86.86842346191406,21.297555923461914
211.25,85.0,86.8703842163086,21.29212760925293
212.26,85.0,86.89786529541016,21.21651840209961
213.26,85.0,86.90768432617188,21.18947982788086
214.28,85.0,86.92927551269531,21.130069732666016
215.29,85.0,86.94300842285156,21.097639083862305
216.31,85.0,86.95675659179688,21.065229415893555
217.31,85.0,86.98226928710938,20.984228134155273
218.32,85.0,86.99600982666016,20.957210540771484
219.33,85.0,87.02153015136719,20.876188278198242
220.33,85.0,87.0372314453125,20.83297348022461
221.33,85.0,87.05293273925781,20.789758682250977
222.34,85.0,87.0568618774414,20.77891731262207
223.34,85.0,87.08238220214844,20.708702087402344
224.35,85.0,87.09808349609375,20.66548728942871
225.35,85.0,87.11575317382812,20.616859436035156
226.36,85.0,87.13341522216797,20.568252563476562
227.36,85.0,87.15696716308594,20.503448486328125
228.36,85.0,87.17463684082031,20.45482063293457
229.37,85.0,87.21192932128906,20.352231979370117
230.38,85.0,87.24137878417969,20.271209716796875
231.38,85.0,87.27670288085938,20.17403221130371
232.38,85.0,87.31793212890625,20.06061553955078
233.39,85.0,87.35914611816406,19.947240829467773
234.39,85.0,87.40821838378906,19.812255859375
235.4,85.0,87.45925903320312,19.68264389038086
