Tiempo (s),SP (LIC203),PV (LE203),CV (LCV203)
0.0,85.0,85.56112670898438,25.91765022277832
1.06,85.0,85.56112670898438,25.923452377319336
2.06,85.0,85.52971649169922,26.12378692626953
3.07,85.0,85.52186584472656,26.067392349243164
4.07,85.0,85.51793670654297,26.05572509765625
5.08,85.0,85.51597595214844,26.050018310546875
6.09,85.0,85.494384765625,26.225698471069336
7.09,85.0,85.47868347167969,26.206527709960938
8.1,85.0,85.47279357910156,26.17030143737793
9.11,85.0,85.46886444091797,26.172950744628906
10.11,85.0,85.46493530273438,26.18486213684082
11.13,85.0,85.46297454833984,26.17827606201172
12.14,85.0,85.46101379394531,26.18421173095703
13.14,85.0,85.46101379394531,26.175460815429688
14.14,85.0,85.43156433105469,26.409812927246094
15.14,85.0,85.41979217529297,26.327299118041992
16.15,85.0,85.41979217529297,26.28013038635254
17.15,85.0,85.4217529296875,26.25400161743164
18.15,85.0,85.42372131347656,26.258420944213867
19.15,85.0,85.4256820678711,26.276620864868164
20.16,85.0,85.40605163574219,26.372264862060547
21.16,85.0,85.40016174316406,26.33819007873535
22.17,85.0,85.39820098876953,26.331281661987305
23.17,85.0,85.39820098876953,26.32754898071289
24.17,85.0,85.39820098876953,26.32981300354004
25.18,85.0,85.396240234375,26.32660675048828
26.18,85.0,85.39427185058594,26.36127281188965
27.19,85.0,85.39035034179688,26.36758041381836
28.47,85.0,85.37464904785156,26.42521095275879
29.48,85.0,85.38053894042969,26.36429786682129
30.48,85.0,85.38053894042969,26.358837127685547
31.48,85.0,85.37857055664062,26.38100242614746
32.49,85.0,85.37857055664062,26.372907638549805
33.49,85.0,85.37660217285156,26.381393432617188
34.5,85.0,85.37464904785156,26.408466339111328
35.5,85.0,85.37660217285156,26.35747718811035
36.51,85.0,85.37464904785156,26.395809173583984
37.51,85.0,85.37464904785156,26.38792610168457
38.52,85.0,85.37464904785156,26.388648986816406
39.53,85.0,85.37464904785156,26.380952835083008
40.54,85.0,85.37464904785156,26.37894058227539
41.54,85.0,85.3726806640625,26.390371322631836
42.54,85.0,85.35697937011719,26.551902770996094
43.55,85.0,85.33145904541016,26.584396362304688
44.55,85.0,85.32164764404297,26.563207626342773
45.55,85.0,85.31771850585938,26.542991638183594
46.56,85.0,85.31771850585938,26.548269271850586
47.57,85.0,85.31575775146484,26.527069091796875
48.57,85.0,85.31575775146484,26.52544403076172
49.58,85.0,85.31575775146484,26.52278709411621
50.59,85.0,85.300048828125,26.65889549255371
51.59,85.0,85.28042602539062,26.706504821777344
52.6,80.0,85.2745361328125,14.14664077758789
53.61,80.0,85.27256774902344,14.128077507019043
54.61,80.0,85.27256774902344,14.107329368591309
55.63,80.0,85.27256774902344,14.104260444641113
56.65,80.0,85.2490234375,14.241737365722656
57.65,80.0,85.24116516113281,14.204574584960938
58.65,80.0,85.23724365234375,14.212292671203613
59.65,80.0,85.23724365234375,14.177373886108398
60.66,80.0,85.23724365234375,14.164870262145996
61.66,80.0,85.2058334350586,14.384200096130371
62.69,80.0,85.19209289550781,14.35173225402832
63.7,80.0,85.18424224853516,14.353350639343262
64.71,80.0,85.15480041503906,14.463793754577637
65.71,80.0,85.14302062988281,14.445903778076172
66.72,80.0,85.1233901977539,14.547737121582031
67.72,80.0,85.11161804199219,14.486515045166016
68.73,80.0,85.08609771728516,14.668567657470703
69.74,80.0,85.06646728515625,14.638392448425293
70.74,80.0,85.04095458984375,14.746818542480469
71.74,80.0,85.03309631347656,14.65170955657959
72.75,80.0,85.00758361816406,14.816155433654785
73.75,80.0,84.99776458740234,14.731359481811523
74.75,80.0,84.96832275390625,14.92135238647461
75.76,80.0,84.95458221435547,14.851428031921387
76.76,80.0,84.92906188964844,14.972757339477539
77.77,80.0,84.91728210449219,14.913982391357422
78.77,80.0,84.91532135009766,14.8829345703125
79.78,80.0,84.88587951660156,15.07418441772461
80.78,80.0,84.8780288696289,14.994161605834961
81.78,80.0,84.87606811523438,14.960346221923828
82.79,80.0,84.87606811523438,14.931018829345703
83.79,80.0,84.87213897705078,14.991281509399414
84.79,80.0,84.84072875976562,15.162457466125488
